iter	Passed	Remaining
0	47	4679
1	48	2365
2	49	1592
3	50	1204
4	51	971
5	52	815
6	53	704
7	53	619
8	54	553
9	55	502
10	56	458
11	57	421
12	58	389
13	58	362
14	59	339
15	60	318
16	61	300
17	62	284
18	63	269
19	63	255
20	64	243
21	65	232
22	66	222
23	67	213
24	68	204
25	69	196
26	70	189
27	71	182
28	71	176
29	72	170
30	73	164
31	74	159
32	75	153
33	76	148
34	77	143
35	78	138
36	78	134
37	79	130
38	80	125
39	81	122
40	82	118
41	83	114
42	84	111
43	84	108
44	85	104
45	86	101
46	87	98
47	88	95
48	89	93
49	90	90
50	91	87
51	91	84
52	92	82
53	93	79
54	94	77
55	95	74
56	96	72
57	96	70
58	97	68
59	98	65
60	99	63
61	100	61
62	101	59
63	102	57
64	103	55
65	104	53
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	111	41
73	113	39
74	114	38
75	114	36
76	115	34
77	116	32
78	117	31
79	118	29
80	119	27
81	119	26
82	120	24
83	121	23
84	122	21
85	122	20
86	123	18
87	124	16
88	125	15
89	126	14
90	126	12
91	127	11
92	128	9
93	129	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	133	0
